,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_RACE,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
0,10001.0,314,912,34.43,10001,New York,NY,40.750741999999995,-73.99653,"40.750742,-73.99653",1455,8710000US3610001,"ZCTA5 10001, New York",21102,65.03,8.99,0.36,16.77,0.02,5.04,3.8
1,10002.0,890,2122,41.94,10002,New York,NY,40.717040000000004,-73.987,"40.71704,-73.987",912,8710000US3610002,"ZCTA5 10002, New York",81410,31.33,8.4,0.46,46.57,0.04,9.82,3.38
2,10003.0,402,1277,31.48,10003,New York,NY,40.732509,-73.98935,"40.732509,-73.98935",960,8710000US3610003,"ZCTA5 10003, New York",56024,76.39,3.53,0.18,14.44,0.04,2.24,3.18
3,10005.0,54,220,24.55,10005,New York,NY,40.706019,-74.00858000000001,"40.706019,-74.00858",1652,8710000US3610005,"ZCTA5 10005, New York",7135,70.09,3.39,0.14,20.74,0.03,2.24,3.36
4,10006.0,21,95,22.11,10006,New York,NY,40.707904,-74.01342,"40.707904,-74.01342",55,8710000US3610006,"ZCTA5 10006, New York",3011,69.35,4.55,0.13,19.63,0.0,3.22,3.12
5,10007.0,48,209,22.97,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721",86,8710000US3610007,"ZCTA5 10007, New York",6988,75.57,6.74,0.07,12.56,0.09,1.29,3.68
6,10009.0,613,1803,34.0,10009,New York,NY,40.727093,-73.97864,"40.727093,-73.97864",1196,8710000US3610009,"ZCTA5 10009, New York",61347,62.07,9.84,0.5,13.66,0.05,9.69,4.2
7,10010.0,237,953,24.87,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205",597,8710000US3610010,"ZCTA5 10010, New York",31834,73.8,5.9,0.22,14.41,0.05,2.45,3.19
8,10011.0,469,1348,34.79,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012",1587,8710000US3610011,"ZCTA5 10011, New York",50984,80.26,4.61,0.22,8.86,0.05,2.93,3.07
9,10012.0,147,506,29.05,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834",1230,8710000US3610012,"ZCTA5 10012, New York",24090,75.56,2.47,0.12,16.54,0.03,2.22,3.05
10,10013.0,220,708,31.07,10013,New York,NY,40.720665999999994,-74.00525999999999,"40.720666,-74.00526",1361,8710000US3610013,"ZCTA5 10013, New York",27700,55.62,3.75,0.11,36.12,0.01,1.77,2.61
11,10014.0,269,783,34.36,10014,New York,NY,40.734718,-74.00532,"40.734718,-74.00532",734,8710000US3610014,"ZCTA5 10014, New York",31959,87.91,2.07,0.17,5.86,0.03,1.23,2.73
12,10016.0,610,2006,30.41,10016,New York,NY,40.746179999999995,-73.97759,"40.74618,-73.97759",1061,8710000US3610016,"ZCTA5 10016, New York",54183,74.78,4.02,0.17,16.61,0.05,2.0,2.38
13,10017.0,125,498,25.1,10017,New York,NY,40.752159000000006,-73.97231,"40.752159,-73.97231",1518,8710000US3610017,"ZCTA5 10017, New York",16575,75.43,3.28,0.09,17.68,0.05,1.16,2.3
14,10018.0,193,565,34.16,10018,New York,NY,40.755101,-73.99337,"40.755101,-73.99337",832,8710000US3610018,"ZCTA5 10018, New York",5229,56.97,7.59,0.33,25.68,0.02,6.22,3.19
15,10019.0,527,1562,33.74,10019,New York,NY,40.765714,-73.9856,"40.765714,-73.9856",519,8710000US3610019,"ZCTA5 10019, New York",42870,69.31,5.51,0.3,16.72,0.06,4.65,3.46
16,10021.0,495,1708,28.98,10021,New York,NY,40.76842,-73.96045,"40.76842,-73.96045",344,8710000US3610021,"ZCTA5 10021, New York",43631,87.99,1.81,0.12,7.29,0.03,0.95,1.8
17,10022.0,299,1082,27.63,10022,New York,NY,40.759015000000005,-73.96732,"40.759015,-73.96732",1709,8710000US3610022,"ZCTA5 10022, New York",31924,86.42,1.85,0.1,9.0,0.05,0.95,1.63
18,10023.0,496,1708,29.04,10023,New York,NY,40.776099,-73.98285,"40.776099,-73.98285",809,8710000US3610023,"ZCTA5 10023, New York",60998,81.54,4.68,0.2,8.97,0.03,2.21,2.37
19,10024.0,576,1874,30.74,10024,New York,NY,40.786387,-73.97709,"40.786387,-73.97709",716,8710000US3610024,"ZCTA5 10024, New York",59283,82.97,5.7,0.22,5.5,0.04,2.87,2.71
20,10025.0,1101,3191,34.5,10025,New York,NY,40.798502,-73.96811,"40.798502,-73.96811",157,8710000US3610025,"ZCTA5 10025, New York",94600,64.86,14.32,0.45,8.25,0.06,7.68,4.39
21,10026.0,564,1482,38.06,10026,New York,NY,40.802853000000006,-73.95470999999999,"40.802853,-73.95471",1657,8710000US3610026,"ZCTA5 10026, New York",34003,21.98,58.7,0.78,4.29,0.11,9.12,5.02
22,10027.0,854,2149,39.74,10027,New York,NY,40.812665,-73.95499000000001,"40.812665,-73.95499",291,8710000US3610027,"ZCTA5 10027, New York",59707,31.09,44.25,0.77,7.57,0.05,11.41,4.87
23,10028.0,429,1488,28.83,10028,New York,NY,40.776777,-73.9541,"40.776777,-73.9541",1403,8710000US3610028,"ZCTA5 10028, New York",45141,87.72,1.7,0.08,7.38,0.04,1.06,2.03
24,10029.0,1559,3562,43.77,10029,New York,NY,40.791585999999995,-73.94575,"40.791586,-73.94575",468,8710000US3610029,"ZCTA5 10029, New York",76003,32.6,31.46,1.09,6.9,0.1,22.85,5.0
25,10030.0,428,1027,41.67,10030,New York,NY,40.818151,-73.94351,"40.818151,-73.94351",353,8710000US3610030,"ZCTA5 10030, New York",26999,10.96,71.85,0.9,1.57,0.09,10.69,3.94
26,10031.0,1082,2279,47.48,10031,New York,NY,40.826201,-73.94879,"40.826201,-73.94879",626,8710000US3610031,"ZCTA5 10031, New York",56438,24.84,33.5,1.33,2.45,0.07,31.04,6.77
27,10032.0,1255,2700,46.48,10032,New York,NY,40.840686,-73.94154,"40.840686,-73.94154",1,8710000US3610032,"ZCTA5 10032, New York",57331,28.27,22.09,1.57,3.47,0.07,37.08,7.47
28,10033.0,1130,2407,46.95,10033,New York,NY,40.848764,-73.93496,"40.848764,-73.93496",869,8710000US3610033,"ZCTA5 10033, New York",53926,42.47,9.73,1.35,2.32,0.06,36.83,7.23
29,10034.0,600,1457,41.18,10034,New York,NY,40.867653000000004,-73.92,"40.867653,-73.92",1304,8710000US3610034,"ZCTA5 10034, New York",38908,37.42,12.85,1.54,2.28,0.07,38.45,7.38
30,10035.0,805,1789,45.0,10035,New York,NY,40.802395000000004,-73.93359,"40.802395,-73.93359",1072,8710000US3610035,"ZCTA5 10035, New York",33969,25.07,43.55,1.29,3.13,0.11,21.59,5.26
31,10036.0,363,1058,34.31,10036,New York,NY,40.759510999999996,-73.99019,"40.759511,-73.99019",1529,8710000US3610036,"ZCTA5 10036, New York",24711,63.68,9.31,0.37,17.09,0.07,5.81,3.67
32,10037.0,371,902,41.13,10037,New York,NY,40.813385,-73.93616,"40.813385,-73.93616",1043,8710000US3610037,"ZCTA5 10037, New York",17416,8.41,77.23,0.66,1.72,0.03,7.9,4.05
33,10038.0,221,588,37.59,10038,New York,NY,40.709677,-74.00365,"40.709677,-74.00365",555,8710000US3610038,"ZCTA5 10038, New York",20300,53.3,8.03,0.22,29.89,0.07,5.03,3.46
34,10039.0,439,1089,40.31,10039,New York,NY,40.826181,-73.9371,"40.826181,-73.9371",643,8710000US3610039,"ZCTA5 10039, New York",24527,10.75,69.8,0.71,1.8,0.03,13.06,3.85
35,10040.0,865,1843,46.93,10040,New York,NY,40.858703999999996,-73.92853000000001,"40.858704,-73.92853",1436,8710000US3610040,"ZCTA5 10040, New York",41905,38.67,11.03,1.28,2.72,0.05,38.59,7.65
36,10044.0,183,424,43.16,10044,New York,NY,40.762174,-73.94917,"40.762174,-73.94917",1792,8710000US3610044,"ZCTA5 10044, New York",11661,51.04,21.28,0.22,18.22,0.43,4.14,4.66
37,10069.0,46,169,27.22,10069,New York,NY,40.775477,-73.9905,"40.775477,-73.9905",782,8710000US3610069,"ZCTA5 10069, New York",5199,72.13,3.58,0.06,20.16,0.0,1.27,2.81
38,10128.0,558,2040,27.35,10128,New York,NY,40.781894,-73.95039,"40.781894,-73.95039",1350,8710000US3610128,"ZCTA5 10128, New York",60453,80.36,4.72,0.16,9.62,0.03,2.43,2.67
39,10280.0,38,178,21.35,10280,New York,NY,40.707467,-74.0178,"40.707467,-74.0178",1472,8710000US3610280,"ZCTA5 10280, New York",7853,69.58,2.99,0.11,22.31,0.08,1.39,3.54
40,10282.0,64,177,36.16,10282,New York,NY,40.717178999999994,-74.01433,"40.717179,-74.01433",847,8710000US3610282,"ZCTA5 10282, New York",4783,78.53,2.4,0.04,13.49,0.04,1.86,3.64
41,10301.0,1020,2501,40.78,10301,Staten Island,NY,40.631775,-74.09432,"40.631775,-74.09432",1273,8710000US3610301,"ZCTA5 10301, New York",39706,54.39,24.59,0.58,6.68,0.08,9.42,4.26
42,10302.0,567,1279,44.33,10302,Staten Island,NY,40.631127,-74.13715,"40.631127,-74.13715",1412,8710000US3610302,"ZCTA5 10302, New York",19088,49.07,21.01,0.81,4.26,0.14,19.66,5.04
43,10303.0,762,1807,42.17,10303,Staten Island,NY,40.629448,-74.16239,"40.629448,-74.16239",985,8710000US3610303,"ZCTA5 10303, New York",26337,33.86,37.52,0.9,7.89,0.04,15.17,4.61
44,10304.0,1248,2973,41.98,10304,Staten Island,NY,40.60787,-74.08991,"40.60787,-74.08991",1466,8710000US3610304,"ZCTA5 10304, New York",42193,47.84,28.84,0.64,9.55,0.04,9.77,3.32
45,10305.0,1104,2906,37.99,10305,Staten Island,NY,40.599021,-74.07503,"40.599021,-74.07503",1653,8710000US3610305,"ZCTA5 10305, New York",41749,76.24,4.38,0.29,10.92,0.07,5.62,2.48
46,10306.0,1316,3757,35.03,10306,Staten Island,NY,40.569394,-74.11785,"40.569394,-74.11785",485,8710000US3610306,"ZCTA5 10306, New York",55909,87.88,2.11,0.28,4.55,0.02,3.28,1.88
47,10307.0,354,1005,35.22,10307,Staten Island,NY,40.508274,-74.24387,"40.508274,-74.24387",1742,8710000US3610307,"ZCTA5 10307, New York",14096,93.43,0.61,0.17,2.48,0.04,1.91,1.36
48,10308.0,587,1756,33.43,10308,Staten Island,NY,40.551353000000006,-74.15098,"40.551353,-74.15098",71,8710000US3610308,"ZCTA5 10308, New York",27357,93.59,0.52,0.11,2.92,0.04,1.54,1.28
49,10309.0,783,2254,34.74,10309,Staten Island,NY,40.529749,-74.21304,"40.529749,-74.21304",1128,8710000US3610309,"ZCTA5 10309, New York",32519,91.06,2.36,0.06,3.82,0.03,1.58,1.09
50,10310.0,663,1721,38.52,10310,Staten Island,NY,40.63212,-74.11551,"40.63212,-74.11551",1787,8710000US3610310,"ZCTA5 10310, New York",24962,54.11,23.29,0.63,5.56,0.01,12.29,4.11
51,10312.0,1389,3818,36.38,10312,Staten Island,NY,40.543116999999995,-74.17628,"40.543117,-74.17628",937,8710000US3610312,"ZCTA5 10312, New York",59304,90.82,0.97,0.15,5.42,0.03,1.3,1.31
52,10314.0,2436,6329,38.49,10314,Staten Island,NY,40.606336999999996,-74.14513000000001,"40.606337,-74.14513",565,8710000US3610314,"ZCTA5 10314, New York",85510,75.89,4.26,0.25,13.45,0.05,3.7,2.41
53,10451.0,1429,3063,46.65,10451,Bronx,NY,40.819728999999995,-73.9223,"40.819729,-73.9223",1678,8710000US3610451,"ZCTA5 10451, New York",45713,19.03,43.37,1.61,1.62,0.08,28.3,5.99
54,10452.0,2016,4323,46.63,10452,Bronx,NY,40.838745,-73.92234,"40.838745,-73.92234",1295,8710000US3610452,"ZCTA5 10452, New York",75371,19.2,36.07,1.61,1.48,0.07,35.3,6.27
55,10453.0,2012,4329,46.48,10453,Bronx,NY,40.853017,-73.91214000000001,"40.853017,-73.91214",1335,8710000US3610453,"ZCTA5 10453, New York",78309,17.4,38.35,1.72,1.36,0.11,34.9,6.17
56,10454.0,982,2197,44.7,10454,Bronx,NY,40.805968,-73.91628,"40.805968,-73.91628",918,8710000US3610454,"ZCTA5 10454, New York",37337,23.98,31.63,2.32,0.58,0.07,35.41,6.01
57,10455.0,1098,2340,46.92,10455,Bronx,NY,40.815559,-73.90771,"40.815559,-73.90771",1133,8710000US3610455,"ZCTA5 10455, New York",39665,24.87,30.55,1.79,0.64,0.07,35.8,6.29
58,10456.0,2162,4842,44.65,10456,Bronx,NY,40.829676,-73.90856,"40.829676,-73.90856",212,8710000US3610456,"ZCTA5 10456, New York",86547,15.4,48.4,1.51,1.03,0.27,27.55,5.83
59,10457.0,1805,4017,44.93,10457,Bronx,NY,40.846745,-73.89860999999999,"40.846745,-73.89861",264,8710000US3610457,"ZCTA5 10457, New York",70496,20.28,38.28,1.64,1.65,0.12,31.95,6.08
60,10458.0,1759,3943,44.61,10458,Bronx,NY,40.864166,-73.88880999999999,"40.864166,-73.88881",658,8710000US3610458,"ZCTA5 10458, New York",79492,29.72,25.95,1.65,4.0,0.09,32.72,5.87
61,10459.0,1315,2719,48.36,10459,Bronx,NY,40.825432,-73.89327,"40.825432,-73.89327",698,8710000US3610459,"ZCTA5 10459, New York",47308,23.29,35.37,1.92,0.83,0.11,31.65,6.83
62,10460.0,1425,3100,45.97,10460,Bronx,NY,40.84095,-73.88036,"40.84095,-73.88036",359,8710000US3610460,"ZCTA5 10460, New York",57311,24.68,36.4,1.72,1.46,0.1,29.96,5.68
63,10461.0,1708,4019,42.5,10461,Bronx,NY,40.842917,-73.83819,"40.842917,-73.83819",1329,8710000US3610461,"ZCTA5 10461, New York",50502,59.15,8.58,0.66,10.54,0.05,17.2,3.83
64,10462.0,2010,4681,42.94,10462,Bronx,NY,40.842172999999995,-73.85862,"40.842173,-73.85862",625,8710000US3610462,"ZCTA5 10462, New York",75784,32.31,29.58,0.98,10.86,0.08,20.78,5.41
65,10463.0,1645,4050,40.62,10463,Bronx,NY,40.881085999999996,-73.90749,"40.881086,-73.90749",56,8710000US3610463,"ZCTA5 10463, New York",67970,51.29,16.48,0.81,4.4,0.05,22.02,4.95
66,10464.0,114,363,31.4,10464,Bronx,NY,40.857017,-73.78903000000001,"40.857017,-73.78903",1519,8710000US3610464,"ZCTA5 10464, New York",4534,85.02,3.88,0.51,3.09,0.15,5.07,2.27
67,10465.0,1365,3606,37.85,10465,Bronx,NY,40.825727,-73.81752,"40.825727,-73.81752",1589,8710000US3610465,"ZCTA5 10465, New York",42230,69.2,10.74,0.63,3.08,0.06,13.02,3.26
68,10466.0,2108,4511,46.73,10466,Bronx,NY,40.89095,-73.84702,"40.89095,-73.84702",117,8710000US3610466,"ZCTA5 10466, New York",67813,10.04,72.71,0.85,2.3,0.07,10.57,3.46
69,10467.0,2952,6235,47.35,10467,Bronx,NY,40.872265000000006,-73.86936999999999,"40.872265,-73.86937",709,8710000US3610467,"ZCTA5 10467, New York",97060,26.6,38.89,1.22,6.44,0.06,21.84,4.95
70,10468.0,2153,4313,49.92,10468,Bronx,NY,40.867107,-73.89916,"40.867107,-73.89916",1036,8710000US3610468,"ZCTA5 10468, New York",76103,24.78,25.92,1.68,4.65,0.07,36.13,6.77
71,10469.0,2600,5379,48.34,10469,Bronx,NY,40.868643,-73.84735,"40.868643,-73.84735",341,8710000US3610469,"ZCTA5 10469, New York",66631,22.65,59.01,0.64,4.12,0.06,10.32,3.21
72,10470.0,398,955,41.68,10470,Bronx,NY,40.900628999999995,-73.86072,"40.900629,-73.86072",201,8710000US3610470,"ZCTA5 10470, New York",15293,48.46,35.81,0.78,3.62,0.03,7.89,3.41
73,10471.0,535,1385,38.63,10471,Bronx,NY,40.900819,-73.90347,"40.900819,-73.90347",1636,8710000US3610471,"ZCTA5 10471, New York",22922,72.88,10.6,0.34,5.91,0.02,6.98,3.26
74,10472.0,1694,3365,50.34,10472,Bronx,NY,40.830409,-73.86845,"40.830409,-73.86845",903,8710000US3610472,"ZCTA5 10472, New York",66358,24.89,30.82,1.49,6.12,0.12,30.61,5.95
75,10473.0,1709,3859,44.29,10473,Bronx,NY,40.818514,-73.85893,"40.818514,-73.85893",1628,8710000US3610473,"ZCTA5 10473, New York",58519,23.42,44.12,1.22,1.66,0.11,23.81,5.65
76,10474.0,286,645,44.34,10474,Bronx,NY,40.81321,-73.88755,"40.81321,-73.88755",285,8710000US3610474,"ZCTA5 10474, New York",12281,23.06,34.45,1.6,1.04,0.09,32.9,6.86
77,10475.0,1545,3807,40.58,10475,Bronx,NY,40.878522,-73.82540999999999,"40.878522,-73.82541",1208,8710000US3610475,"ZCTA5 10475, New York",40931,21.55,63.6,0.52,1.29,0.04,9.17,3.82
78,11004.0,515,943,54.61,11004,Glen Oaks,NY,40.742944,-73.70956,"40.742944,-73.70956",1783,8710000US3611004,"ZCTA5 11004, New York",14016,49.97,6.33,0.38,36.45,0.04,2.9,3.94
79,11101.0,542,1450,37.38,11101,Long Island City,NY,40.745340999999996,-73.93907,"40.745341,-73.93907",1394,8710000US3611101,"ZCTA5 11101, New York",25484,42.54,20.79,0.7,16.02,0.07,15.48,4.39
80,11102.0,528,1235,42.75,11102,Astoria,NY,40.771285999999996,-73.92461999999999,"40.771286,-73.92462",1215,8710000US3611102,"ZCTA5 11102, New York",34133,55.74,9.81,0.88,15.3,0.06,14.11,4.1
81,11103.0,465,1169,39.78,11103,Astoria,NY,40.762968,-73.91091,"40.762968,-73.91091",101,8710000US3611103,"ZCTA5 11103, New York",38780,67.88,1.91,0.57,14.23,0.05,11.72,3.64
82,11104.0,418,1006,41.55,11104,Sunnyside,NY,40.743796,-73.91949,"40.743796,-73.91949",161,8710000US3611104,"ZCTA5 11104, New York",27232,54.23,2.17,0.66,25.98,0.03,12.47,4.45
83,11105.0,433,1247,34.72,11105,Astoria,NY,40.774685999999996,-73.90816,"40.774686,-73.90816",1410,8710000US3611105,"ZCTA5 11105, New York",36688,75.5,2.17,0.27,11.23,0.06,7.24,3.54
84,11106.0,560,1383,40.49,11106,Astoria,NY,40.762012,-73.93146999999999,"40.762012,-73.93147",7,8710000US3611106,"ZCTA5 11106, New York",38875,54.55,8.92,0.57,19.16,0.04,12.59,4.16
85,11109.0,46,191,24.08,11109,Long Island City,NY,40.651378,-73.870779,"40.651378,-73.870779",380,8710000US3611109,"ZCTA5 11109, New York",3523,66.68,4.43,0.14,21.8,0.11,2.75,4.09
